month_id,gdp_household,gdp_gov,gdp_capital,gdp_exports,gdp_imports,gdp_se,gdp_total
2020-06,2917736.7328303363,848877.3497463146,625145.3286361173,1010842.6051584053,1257461.0203456134,-2197.6285180007108,4142943.3675075597
2020-09,3030086.4136792915,609090.0629254403,757158.8421557116,1234792.549018193,1536230.0120293899,40600.95417114906,4135498.8099203957
2020-12,3648921.6749099772,633848.1227254152,1001594.3526948787,1161833.519865438,1587264.2497924436,-33337.8058419032,4825595.614561362
2021-03,3156809.3523885403,650699.6291023013,852222.6599309494,1230985.4238615134,1636542.7764389366,12622.735289840028,4266797.0241342075
2021-06,3130131.1633264814,814245.2061328886,1148344.7037426997,1297945.4611262158,1762962.0825797399,14120.18031848967,4641824.632067036
2021-09,3245552.817043462,693780.4058956411,908515.5627651418,1348936.459172816,1729904.3039298884,-40250.78964888211,4426630.15129829
2021-12,3922623.7313984605,683979.5147946035,1142714.7712063345,1251806.2666707835,1809799.7456785247,13507.874040552415,5204832.4124322105
2022-03,3472080.1841169447,675243.1606185738,1003148.6038142301,1362602.7514562916,1902101.222055229,245.94193443097174,4611219.419885242
2022-06,3397177.5623716842,904956.3070414597,1344736.7262500743,1362409.3248732006,2017312.1274677713,-1033.750952322036,4990934.042116325
2022-09,3505788.0748620336,700083.3890029432,1072152.4500298323,1534252.0781186651,2052446.027880711,7719.2766223903745,4767549.240755154
2022-12,4195302.380781213,708325.9094197385,1186610.4511497996,1432587.142400526,1939992.4277949901,-6931.467604498379,5575901.988351788
2023-03,3692157.970396909,715392.4011668202,1140162.0583165751,1373900.7150754249,1983306.5734393995,-31293.905858291313,4907012.665658038
2023-06,3581723.099208543,838632.9220874961,1355287.0748371673,1423239.396238714,2008905.8299126464,13478.780063683167,5203455.442522957
2023-09,3683833.3071888513,745183.8112706377,1082022.2846481444,1576160.9631537325,2020718.1747548212,-15086.214085067622,5051395.977421478
2023-12,4419486.932397823,699386.0789995287,1319180.9061434965,1394547.1713483909,1980973.937284979,32901.33987967577,5884528.491483936
2024-03,3865193.805108537,733822.1704352682,1149701.4808925958,1485302.2799763768,2027273.1460066342,-11158.386426249519,5195588.2039798945
2024-06,3754005.1109577147,938181.8654238214,1511283.773990708,1478328.0743779931,2115751.0288913515,-26965.087655941024,5539082.708202945
2024-09,3875929.630511984,782146.4698575364,1220432.6378907417,1555462.1042552837,2151102.929746439,33186.41278165579,5316054.325550761
2024-12,4628997.51734125,762627.5866860212,1391803.648028086,1439458.3336272405,2034192.747745513,4937.061300536618,6193631.399237622
2025-03,4070114.897840006,871001.671116553,1195381.1565590787,1578000.4133822827,2227678.702766165,-10219.562996543944,5476599.873135211
